0 1 2
CHEMBL1242662 DB07334 0.7446808510638298
CHEMBL1242377 DB07334 0.7083333333333334
CHEMBL1230790 DB07334 1.0
CHEMBL1242848 DB07334 0.7021276595744681
CHEMBL1242198 DB07334 0.7083333333333334
CHEMBL1241946 DB07334 0.7142857142857143
CHEMBL1242285 DB07334 0.723404255319149
CHEMBL1241241 DB07334 0.7272727272727273
CHEMBL1241582 DB07334 0.7291666666666666
CHEMBL1242029 DB07334 0.7083333333333334
CHEMBL493986 DB07513 0.7619047619047619
CHEMBL1668411 DB07787 1.0
CHEMBL1240553 DB08052 0.9565217391304348
CHEMBL1240554 DB08052 0.8269230769230769
CHEMBL1241581 DB08052 0.82
CHEMBL1242659 DB08052 0.8113207547169812
CHEMBL1242201 DB08052 0.7884615384615384
CHEMBL1233881 DB08052 1.0
CHEMBL1241683 DB08053 0.7115384615384616
CHEMBL1241682 DB08053 0.7254901960784313
CHEMBL1241774 DB08053 0.75
CHEMBL1241949 DB08053 0.74
CHEMBL1233882 DB08053 1.0
CHEMBL1242756 DB08053 0.7346938775510204
CHEMBL1242754 DB08053 0.74
CHEMBL245549 DB08220 0.7058823529411765
CHEMBL1242661 DB08299 0.717391304347826
CHEMBL1234815 DB08299 1.0
CHEMBL1242756 DB08299 0.7333333333333333
CHEMBL117166 DB08596 0.8148148148148148
CHEMBL333021 DB08596 0.7678571428571429
CHEMBL324153 DB08596 0.8148148148148148
CHEMBL25425 DB08763 0.7164179104477612
CHEMBL1907944 DB08763 0.8412698412698413
CHEMBL2058042 DB08763 0.7647058823529411
CHEMBL1277620 DB08763 0.7017543859649122
CHEMBL1202473 DB08763 0.7205882352941176
CHEMBL1202477 DB08763 0.7164179104477612
CHEMBL2448066 DB08763 0.7101449275362319
CHEMBL2448065 DB08763 0.8253968253968254
CHEMBL281990 DB08763 0.8387096774193549
CHEMBL1907764 DB08763 0.8412698412698413
CHEMBL1907763 DB08763 0.7058823529411765
CHEMBL533849 DB08763 0.9827586206896551
CHEMBL24979 DB08763 0.8548387096774194
CHEMBL416191 DB08763 0.8064516129032258
CHEMBL6246 DB08844 1.0
CHEMBL180331 DB08874 0.7777777777777778
CHEMBL1229517 DB08878 1.0
CHEMBL1171837 DB08899 1.0
CHEMBL502835 DB09078 0.72
CHEMBL1738797 DB11362 1.0
CHEMBL1940181 DB11362 0.8285714285714286
CHEMBL1940180 DB11362 0.75
